0	[((38096643, 38024757, 0), 0), ((38024757, 38057031, 0), 2), ((38057031, 38046725, 0), 10), ((38046725, 38058901, 0), 18), ((38058901, 38078585, 0), 28), ((38078585, 38078589, 0), 37), ('GOAL', 38078589, 37), ('GOAL', 38078589, None), ('GOAL', 38078589, None)]
1	[((1557362915, 37982991, 0), 0), ((37982991, 38062559, 0), 3), ((38062559, 38062557, 0), 9), ((38062557, 38126875, 0), 22), ((38126875, 38123182, 0), 34), ((38123182, 38038045, 0), 40), ((38038045, 38002419, 0), 49), ((38002419, 37982587, 0), 57), ((37982587, 37982582, 0), 64), ((37982582, 37982569, 0), 69), ((37982569, 37982563, 0), 76), ((37982563, 37982560, 0), 82), ((37982560, 37982555, 0), 93), ((37982555, 37982544, 0), 99), ((37982544, 38058900, 0), 114), ((38058900, 38127679, 0), 126), ((38127679, 38107786, 0), 131), ('GOAL', 38107786, 131)]
2	[((38128507, 37982977, 0), 0), ((37982977, 38009439, 0), 3), ((38009439, 37987901, 0), 6), ((37987901, 38127601, 0), 9), ((38127601, 38005219, 0), 12), ((38005219, 38014590, 0), 16), ((38014590, 38063509, 0), 21), ((38063509, 38039366, 0), 25), ((38039366, 38048961, 0), 33), ((38048961, 38048956, 0), 47), ((38048956, 38048952, 0), 56), ((38048952, 38096643, 0), 61), ((38096643, 37982563, 0), 65), ((37982563, 37982560, 0), 72), ((37982560, 37982555, 0), 78), ((37982555, 37982544, 0), 84), ((37982544, 38058900, 0), 96), ((38058900, 38127679, 0), 109), ((38127679, 38107786, 0), 113), ('GOAL', 38107786, 113)]
3	[((38002421, 38035340, 0), 0), ((38035340, 38048956, 0), 5), ((38048956, 38048952, 0), 10), ((38048952, 38096643, 0), 20), ((38096643, 38024757, 0), 24), ((38024757, 38057031, 0), 33), ((38057031, 38046725, 0), 50), ((38046725, 38058901, 0), 59), ((38058901, 38078585, 0), 70), ((38078585, 38078589, 0), 79), ('GOAL', 38078589, 79), ('GOAL', 38078589, None)]
4	[((38062559, 38062557, 0), 0), ((38062557, 38126875, 0), 4), ((38126875, 38123182, 0), 17), ((38123182, 38038045, 0), 23), ((38038045, 38002419, 0), 32), ((38002419, 37982587, 0), 40), ((37982587, 37982582, 0), 53), ((37982582, 37982569, 0), 62), ((37982569, 37982563, 0), 72), ((37982563, 37982560, 0), 79), ((37982560, 37982555, 0), 90), ((37982555, 37982544, 0), 96), ((37982544, 38058900, 0), 110), ((38058900, 38127679, 0), 122), ((38127679, 38107786, 0), 127), ('GOAL', 38107786, 127)]
5	[((38062557, 38062559, 0), 0), ((38062559, 38062557, 0), 9), ((38062557, 38126875, 0), 20), ((38126875, 38123182, 0), 33), ((38123182, 38038045, 0), 39), ((38038045, 38002419, 0), 47), ((38002419, 37982587, 0), 56), ((37982587, 37982582, 0), 63), ((37982582, 37982569, 0), 68), ((37982569, 37982563, 0), 74), ((37982563, 37982560, 0), 81), ((37982560, 37982555, 0), 92), ((37982555, 37982544, 0), 98), ((37982544, 38058900, 0), 112), ((38058900, 38127679, 0), 125), ((38127679, 38107786, 0), 129), ('GOAL', 38107786, 129)]
6	[((38123182, 38126875, 0), 0), ((38126875, 38123182, 0), 3), ((38123182, 38038045, 0), 9), ((38038045, 38002419, 0), 18), ((38002419, 37982587, 0), 26), ((37982587, 37982582, 0), 40), ((37982582, 37982569, 0), 49), ((37982569, 37982563, 0), 59), ((37982563, 37982560, 0), 64), ((37982560, 37982555, 0), 70), ((37982555, 37982544, 0), 76), ((37982544, 38058900, 0), 87), ((38058900, 38127679, 0), 99), ((38127679, 38107786, 0), 104), ('GOAL', 38107786, 104), ('GOAL', 38107786, None)]
7	[((37982991, 1557362915, 0), 0), ((1557362915, 37982991, 0), 4), ((37982991, 38062559, 0), 8), ((38062559, 38062557, 0), 15), ((38062557, 38126875, 0), 29), ((38126875, 38123182, 0), 42), ((38123182, 38038045, 0), 47), ((38038045, 38002419, 0), 57), ((38002419, 37982587, 0), 65), ((37982587, 37982582, 0), 72), ((37982582, 37982569, 0), 78), ((37982569, 37982563, 0), 83), ((37982563, 37982560, 0), 89), ((37982560, 37982555, 0), 100), ((37982555, 37982544, 0), 106), ((37982544, 38058900, 0), 122), ((38058900, 38127679, 0), 134), ((38127679, 38107786, 0), 139), ('GOAL', 38107786, 139)]
8	[((38063505, 38039364, 0), 0), ((38039364, 38077723, 0), 4), ((38077723, 38083061, 0), 10), ((38083061, 387669119, 0), 17), ((387669119, 38135625, 0), 27), ((38135625, 38024769, 0), 30), ((38024769, 38024763, 0), 32), ((38024763, 38024757, 0), 36), ((38024757, 38057031, 0), 42), ((38057031, 38046725, 0), 64), ((38046725, 38058901, 0), 73), ((38058901, 38078585, 0), 84), ((38078585, 38078589, 0), 93), ('GOAL', 38078589, 93), ('GOAL', 38078589, None)]
9	[((38014590, 38063509, 0), 0), ((38063509, 38039366, 0), 1), ((38039366, 38048961, 0), 5), ((38048961, 38048956, 0), 19), ((38048956, 38048952, 0), 28), ((38048952, 38096643, 0), 33), ((38096643, 38024757, 0), 38), ((38024757, 38057031, 0), 49), ((38057031, 38046725, 0), 71), ((38046725, 38058901, 0), 81), ((38058901, 38078585, 0), 91), ((38078585, 38078589, 0), 101), ('GOAL', 38078589, 101), ('GOAL', 38078589, None)]
