0	[((38096643, 38024757, 0), 0), ((38024757, 38057031, 0), 2), ((38057031, 38046725, 0), 10), ((38046725, 38058901, 0), 20), ((38058901, 38078585, 0), 30), ((38078585, 38078589, 0), 40), ('GOAL', 38078589, 40)]
1	[((1557362915, 37982991, 0), 0), ((37982991, 38062559, 0), 3), ((38062559, 38062557, 0), 9), ((38062557, 38126875, 0), 22), ((38126875, 38123182, 0), 34), ((38123182, 38038045, 0), 40), ((38038045, 38002419, 0), 49), ((38002419, 38035334, 0), 57), ((38035334, 38048952, 0), 78), ((38048952, 38096643, 0), 102), ((38096643, 38024757, 0), 138), ((38024757, 38057031, 0), 157), ((38057031, 38046725, 0), 180), ((38046725, 38058901, 0), 203), ((38058901, 38078585, 0), 213), ((38078585, 38078589, 0), 223), ('GOAL', 38078589, 223)]
2	[((38128507, 37982977, 0), 0), ((37982977, 38009439, 0), 3), ((38009439, 37987901, 0), 6), ((37987901, 38127601, 0), 9), ((38127601, 38005219, 0), 12), ((38005219, 38014590, 0), 16), ((38014590, 38063509, 0), 21), ((38063509, 38039366, 0), 25), ((38039366, 38048961, 0), 33), ((38048961, 38048956, 0), 47), ((38048956, 38048952, 0), 56), ((38048952, 38096643, 0), 70), ((38096643, 38024757, 0), 105), ((38024757, 38057031, 0), 122), ((38057031, 38046725, 0), 145), ((38046725, 38058901, 0), 166), ((38058901, 38078585, 0), 176), ((38078585, 38078589, 0), 186), ('GOAL', 38078589, 186)]
3	[((38002421, 38035340, 0), 0), ((38035340, 38048956, 0), 5), ((38048956, 38048952, 0), 10), ((38048952, 38096643, 0), 22), ((38096643, 38024757, 0), 32), ((38024757, 38057031, 0), 45), ((38057031, 38046725, 0), 70), ((38046725, 38058901, 0), 86), ((38058901, 38078585, 0), 96), ((38078585, 38078589, 0), 106), ('GOAL', 38078589, 106)]
4	[((38062559, 38062557, 0), 0), ((38062557, 38126875, 0), 4), ((38126875, 38123182, 0), 17), ((38123182, 38038045, 0), 24), ((38038045, 38002419, 0), 34), ((38002419, 38035334, 0), 44), ((38035334, 38048952, 0), 74), ((38048952, 38096643, 0), 98), ((38096643, 38024757, 0), 135), ((38024757, 38057031, 0), 154), ((38057031, 38046725, 0), 176), ((38046725, 38058901, 0), 199), ((38058901, 38078585, 0), 209), ((38078585, 38078589, 0), 219), ('GOAL', 38078589, 219)]
5	[((38062557, 38062559, 0), 0), ((38062559, 38062557, 0), 9), ((38062557, 38126875, 0), 20), ((38126875, 38123182, 0), 33), ((38123182, 38038045, 0), 39), ((38038045, 38002419, 0), 47), ((38002419, 38035334, 0), 56), ((38035334, 38048952, 0), 76), ((38048952, 38096643, 0), 100), ((38096643, 38024757, 0), 137), ((38024757, 38057031, 0), 156), ((38057031, 38046725, 0), 179), ((38046725, 38058901, 0), 201), ((38058901, 38078585, 0), 212), ((38078585, 38078589, 0), 221), ('GOAL', 38078589, 221)]
6	[((38123182, 38126875, 0), 0), ((38126875, 38123182, 0), 3), ((38123182, 38038045, 0), 9), ((38038045, 38002419, 0), 18), ((38002419, 38035334, 0), 29), ((38035334, 38048952, 0), 55), ((38048952, 38096643, 0), 79), ((38096643, 38024757, 0), 119), ((38024757, 38057031, 0), 137), ((38057031, 38046725, 0), 160), ((38046725, 38058901, 0), 181), ((38058901, 38078585, 0), 192), ((38078585, 38078589, 0), 201), ('GOAL', 38078589, 201)]
7	[((37982991, 1557362915, 0), 0), ((1557362915, 37982991, 0), 4), ((37982991, 38062559, 0), 8), ((38062559, 38062557, 0), 15), ((38062557, 38126875, 0), 29), ((38126875, 38123182, 0), 42), ((38123182, 38038045, 0), 47), ((38038045, 38002419, 0), 57), ((38002419, 38035334, 0), 65), ((38035334, 38048952, 0), 86), ((38048952, 38096643, 0), 110), ((38096643, 38024757, 0), 145), ((38024757, 38057031, 0), 164), ((38057031, 38046725, 0), 187), ((38046725, 38058901, 0), 210), ((38058901, 38078585, 0), 221), ((38078585, 38078589, 0), 230), ('GOAL', 38078589, 230)]
8	[((38063505, 38039364, 0), 0), ((38039364, 38077723, 0), 4), ((38077723, 38083061, 0), 10), ((38083061, 387669119, 0), 17), ((387669119, 38135625, 0), 27), ((38135625, 38024769, 0), 30), ((38024769, 38024763, 0), 32), ((38024763, 38024757, 0), 36), ((38024757, 38057031, 0), 43), ((38057031, 38046725, 0), 65), ((38046725, 38058901, 0), 81), ((38058901, 38078585, 0), 91), ((38078585, 38078589, 0), 101), ('GOAL', 38078589, 101)]
9	[((38014590, 38063509, 0), 0), ((38063509, 38039366, 0), 1), ((38039366, 38048961, 0), 5), ((38048961, 38048956, 0), 19), ((38048956, 38048952, 0), 28), ((38048952, 38096643, 0), 40), ((38096643, 38024757, 0), 59), ((38024757, 38057031, 0), 73), ((38057031, 38046725, 0), 97), ((38046725, 38058901, 0), 115), ((38058901, 38078585, 0), 126), ((38078585, 38078589, 0), 135), ('GOAL', 38078589, 135)]
10	[((38126875, 38123182, 0), 0), ((38123182, 38038045, 0), 5), ((38038045, 38002419, 0), 15), ((38002419, 38035334, 0), 27), ((38035334, 38048952, 0), 51), ((38048952, 38096643, 0), 75), ((38096643, 38024757, 0), 113), ((38024757, 38057031, 0), 130), ((38057031, 38046725, 0), 154), ((38046725, 38058901, 0), 175), ((38058901, 38078585, 0), 185), ((38078585, 38078589, 0), 195), ('GOAL', 38078589, 195)]
11	[((37982092, 38126878, 0), 0), ((38126878, 38126875, 0), 2), ((38126875, 38123182, 0), 7), ((38123182, 38038045, 0), 12), ((38038045, 38002419, 0), 23), ((38002419, 38035334, 0), 33), ((38035334, 38048952, 0), 62), ((38048952, 38096643, 0), 86), ((38096643, 38024757, 0), 125), ((38024757, 38057031, 0), 143), ((38057031, 38046725, 0), 166), ((38046725, 38058901, 0), 188), ((38058901, 38078585, 0), 198), ((38078585, 38078589, 0), 207), ('GOAL', 38078589, 207)]
12	[((37974745, 38078585, 0), 0), ((38078585, 38078589, 0), 6), ('GOAL', 38078589, 6)]
13	[((37982606, 38123182, 0), 0), ((38123182, 38038045, 0), 12), ((38038045, 38002419, 0), 21), ((38002419, 38035334, 0), 32), ((38035334, 38048952, 0), 60), ((38048952, 38096643, 0), 84), ((38096643, 38024757, 0), 123), ((38024757, 38057031, 0), 141), ((38057031, 38046725, 0), 164), ((38046725, 38058901, 0), 186), ((38058901, 38078585, 0), 197), ((38078585, 38078589, 0), 206), ('GOAL', 38078589, 206)]
14	[((37982610, 38126875, 0), 0), ((38126875, 38123182, 0), 2), ((38123182, 38038045, 0), 7), ((38038045, 38002419, 0), 16), ((38002419, 38035334, 0), 28), ((38035334, 38048952, 0), 54), ((38048952, 38096643, 0), 78), ((38096643, 38024757, 0), 118), ((38024757, 38057031, 0), 135), ((38057031, 38046725, 0), 158), ((38046725, 38058901, 0), 180), ((38058901, 38078585, 0), 190), ((38078585, 38078589, 0), 200), ('GOAL', 38078589, 200)]
15	[((1557362915, 37982991, 0), 0), ((37982991, 38062559, 0), 4), ((38062559, 38062557, 0), 11), ((38062557, 38126875, 0), 23), ((38126875, 38123182, 0), 35), ((38123182, 38038045, 0), 41), ((38038045, 38002419, 0), 50), ((38002419, 38035334, 0), 58), ((38035334, 38048952, 0), 79), ((38048952, 38096643, 0), 103), ((38096643, 38024757, 0), 140), ((38024757, 38057031, 0), 158), ((38057031, 38046725, 0), 181), ((38046725, 38058901, 0), 204), ((38058901, 38078585, 0), 214), ((38078585, 38078589, 0), 224), ('GOAL', 38078589, 224)]
16	[((38123182, 38126875, 0), 0), ((38126875, 38123182, 0), 5), ((38123182, 38038045, 0), 10), ((38038045, 38002419, 0), 19), ((38002419, 38035334, 0), 31), ((38035334, 38048952, 0), 59), ((38048952, 38096643, 0), 83), ((38096643, 38024757, 0), 122), ((38024757, 38057031, 0), 140), ((38057031, 38046725, 0), 163), ((38046725, 38058901, 0), 185), ((38058901, 38078585, 0), 195), ((38078585, 38078589, 0), 205), ('GOAL', 38078589, 205)]
17	[((38062559, 38027658, 0), 0)]
18	[((37982555, 38057031, 0), 0), ((38057031, 38046725, 0), 3), ((38046725, 38058901, 0), 10), ((38058901, 38078585, 0), 20), ((38078585, 38078589, 0), 30), ('GOAL', 38078589, 30)]
19	[((37982974, 37982977, 0), 0), ((37982977, 38009439, 0), 2), ((38009439, 37987901, 0), 5), ((37987901, 38127601, 0), 8), ((38127601, 38005219, 0), 11), ((38005219, 38014590, 0), 15), ((38014590, 38063509, 0), 20), ((38063509, 38039366, 0), 24), ((38039366, 38048961, 0), 31), ((38048961, 38048956, 0), 46), ((38048956, 38048952, 0), 55), ((38048952, 38096643, 0), 69), ((38096643, 38024757, 0), 103), ((38024757, 38057031, 0), 120), ((38057031, 38046725, 0), 143), ((38046725, 38058901, 0), 163), ((38058901, 38078585, 0), 174), ((38078585, 38078589, 0), 183), ('GOAL', 38078589, 183)]
20	[((387669119, 38048961, 0), 0), ((38048961, 38048956, 0), 4), ((38048956, 38048952, 0), 14), ((38048952, 38096643, 0), 30), ((38096643, 38024757, 0), 43), ((38024757, 38057031, 0), 56), ((38057031, 38046725, 0), 80), ((38046725, 38058901, 0), 97), ((38058901, 38078585, 0), 108), ((38078585, 38078589, 0), 117), ('GOAL', 38078589, 117)]
21	[((37960220, 37982606, 0), 0), ((37982606, 38123182, 0), 4), ((38123182, 38038045, 0), 20), ((38038045, 38002419, 0), 30), ((38002419, 38035334, 0), 40), ((38035334, 38048952, 0), 70), ((38048952, 38096643, 0), 94), ((38096643, 38024757, 0), 132), ((38024757, 38057031, 0), 150), ((38057031, 38046725, 0), 173), ((38046725, 38058901, 0), 195), ((38058901, 38078585, 0), 206), ((38078585, 38078589, 0), 215), ('GOAL', 38078589, 215)]
22	[((387669119, 38048961, 0), 0), ((38048961, 38048956, 0), 5), ((38048956, 38048952, 0), 16), ((38048952, 38096643, 0), 33), ((38096643, 38024757, 0), 47), ((38024757, 38057031, 0), 61), ((38057031, 38046725, 0), 85), ((38046725, 38058901, 0), 103), ((38058901, 38078585, 0), 113), ((38078585, 38078589, 0), 122), ('GOAL', 38078589, 122)]
23	[((38002421, 38002419, 0), 0), ((38002419, 38035334, 0), 3), ((38035334, 38048952, 0), 12), ((38048952, 38096643, 0), 31), ((38096643, 38024757, 0), 46), ((38024757, 38057031, 0), 60), ((38057031, 38046725, 0), 84), ((38046725, 38058901, 0), 101), ((38058901, 38078585, 0), 112), ((38078585, 38078589, 0), 121), ('GOAL', 38078589, 121)]
24	[((38077723, 38083061, 0), 0), ((38083061, 387669119, 0), 2), ((387669119, 38135625, 0), 13), ((38135625, 38024769, 0), 16), ((38024769, 38024763, 0), 18), ((38024763, 38024757, 0), 22), ((38024757, 38057031, 0), 28), ((38057031, 38046725, 0), 47), ((38046725, 38058901, 0), 62), ((38058901, 38078585, 0), 72), ((38078585, 38078589, 0), 82), ('GOAL', 38078589, 82)]
25	[((37985146, 38048877, 0), 0), ((38048877, 37985146, 0), 6), ((37985146, 2366289498, 0), 12), ((2366289498, 2366289499, 0), 19), ((2366289499, 37974745, 0), 27), ((37974745, 38078585, 0), 39), ((38078585, 38078589, 0), 51), ('GOAL', 38078589, 51)]
26	[((38002421, 38035340, 0), 0), ((38035340, 38048956, 0), 6), ((38048956, 38048952, 0), 11), ((38048952, 38096643, 0), 25), ((38096643, 38024757, 0), 37), ((38024757, 38057031, 0), 50), ((38057031, 38046725, 0), 74), ((38046725, 38058901, 0), 91), ((38058901, 38078585, 0), 102), ((38078585, 38078589, 0), 111), ('GOAL', 38078589, 111)]
27	[((38024757, 38057031, 0), 0), ((38057031, 38046725, 0), 7), ((38046725, 38058901, 0), 14), ((38058901, 38078585, 0), 24), ((38078585, 38078589, 0), 34), ('GOAL', 38078589, 34)]
28	[((38002424, 38002421, 0), 0), ((38002421, 38002419, 0), 2), ((38002419, 38035334, 0), 9), ((38035334, 38048952, 0), 19), ((38048952, 38096643, 0), 39), ((38096643, 38024757, 0), 58), ((38024757, 38057031, 0), 72), ((38057031, 38046725, 0), 96), ((38046725, 38058901, 0), 114), ((38058901, 38078585, 0), 124), ((38078585, 38078589, 0), 134), ('GOAL', 38078589, 134)]
29	[((37974742, 37974745, 0), 0), ((37974745, 38078585, 0), 1), ((38078585, 38078589, 0), 14), ('GOAL', 38078589, 14)]
30	[((37974742, 38058901, 0), 0), ((38058901, 38078585, 0), 6), ((38078585, 38078589, 0), 16), ('GOAL', 38078589, 16)]
