11	[((37982092, 38126878, 0), 0), ((38126878, 38126875, 0), 2), ((38126875, 38123182, 0), 7), ((38123182, 38038045, 0), 12), ((38038045, 38002419, 0), 23), ((38002419, 38035334, 0), 32), ((38035334, 38048952, 0), 50), ((38048952, 38096643, 0), 66), ((38096643, 38024757, 0), 98), ((38024757, 38057031, 0), 112), ((38057031, 38046725, 0), 133), ((38046725, 38058901, 0), 147), ((38058901, 38078585, 0), 157), ((38078585, 38078589, 0), 167), ('GOAL', 38078589, 167)]
12	[((37974745, 38078585, 0), 0), ((38078585, 38078589, 0), 6), ('GOAL', 38078589, 6)]
13	[((37982606, 38123182, 0), 0), ((38123182, 38038045, 0), 12), ((38038045, 38002419, 0), 21), ((38002419, 38035334, 0), 31), ((38035334, 38048952, 0), 49), ((38048952, 38096643, 0), 65), ((38096643, 38024757, 0), 95), ((38024757, 38057031, 0), 110), ((38057031, 38046725, 0), 131), ((38046725, 38058901, 0), 144), ((38058901, 38078585, 0), 155), ((38078585, 38078589, 0), 164), ('GOAL', 38078589, 164)]
14	[((37982610, 38126875, 0), 0), ((38126875, 38123182, 0), 2), ((38123182, 38038045, 0), 7), ((38038045, 38002419, 0), 16), ((38002419, 38035334, 0), 25), ((38035334, 38048952, 0), 39), ((38048952, 38096643, 0), 54), ((38096643, 38024757, 0), 79), ((38024757, 38057031, 0), 93), ((38057031, 38046725, 0), 114), ((38046725, 38058901, 0), 127), ((38058901, 38078585, 0), 137), ((38078585, 38078589, 0), 147), ('GOAL', 38078589, 147)]
15	[((1557362915, 37982991, 0), 0), ((37982991, 38062559, 0), 4), ((38062559, 38062557, 0), 11), ((38062557, 38126875, 0), 23), ((38126875, 38123182, 0), 35), ((38123182, 38038045, 0), 41), ((38038045, 38002419, 0), 50), ((38002419, 38035334, 0), 58), ((38035334, 38048952, 0), 65), ((38048952, 38096643, 0), 80), ((38096643, 38024757, 0), 117), ((38024757, 38057031, 0), 133), ((38057031, 38046725, 0), 154), ((38046725, 38058901, 0), 169), ((38058901, 38078585, 0), 179), ((38078585, 38078589, 0), 188), ('GOAL', 38078589, 188)]
16	[((38123182, 38126875, 0), 0), ((38126875, 38123182, 0), 5), ((38123182, 38038045, 0), 10), ((38038045, 38002419, 0), 19), ((38002419, 38035334, 0), 28), ((38035334, 38048952, 0), 44), ((38048952, 38096643, 0), 60), ((38096643, 38024757, 0), 88), ((38024757, 38057031, 0), 102), ((38057031, 38046725, 0), 124), ((38046725, 38058901, 0), 137), ((38058901, 38078585, 0), 147), ((38078585, 38078589, 0), 157), ('GOAL', 38078589, 157)]
17	[((38062559, 38027658, 0), 0)]
18	[((37982555, 38057031, 0), 0), ((38057031, 38046725, 0), 3), ((38046725, 38058901, 0), 10), ((38058901, 38078585, 0), 20), ((38078585, 38078589, 0), 30), ('GOAL', 38078589, 30)]
19	[((37982974, 37982977, 0), 0), ((37982977, 38009439, 0), 2), ((38009439, 37987901, 0), 5), ((37987901, 38127601, 0), 8), ((38127601, 38005219, 0), 11), ((38005219, 38014590, 0), 15), ((38014590, 38063509, 0), 20), ((38063509, 38039366, 0), 24), ((38039366, 38048961, 0), 31), ((38048961, 38048956, 0), 46), ((38048956, 38048952, 0), 55), ((38048952, 38096643, 0), 69), ((38096643, 38024757, 0), 101), ((38024757, 38057031, 0), 116), ((38057031, 38046725, 0), 137), ((38046725, 38058901, 0), 151), ((38058901, 38078585, 0), 161), ((38078585, 38078589, 0), 171), ('GOAL', 38078589, 171)]
20	[((387669119, 38048961, 0), 0), ((38048961, 38048956, 0), 4), ((38048956, 38048952, 0), 14), ((38048952, 38096643, 0), 30), ((38096643, 38024757, 0), 41), ((38024757, 38057031, 0), 53), ((38057031, 38046725, 0), 74), ((38046725, 38058901, 0), 85), ((38058901, 38078585, 0), 95), ((38078585, 38078589, 0), 105), ('GOAL', 38078589, 105)]
21	[((37960220, 37982606, 0), 0), ((37982606, 37982597, 0), 4), ((37982597, 37982590, 0), 9), ((37982590, 37982587, 0), 12), ((37982587, 37982582, 0), 14), ((37982582, 37982569, 0), 19), ((37982569, 37982563, 0), 24), ((37982563, 37982560, 0), 29), ((37982560, 37982555, 0), 34), ((37982555, 37982544, 0), 40), ((37982544, 38058900, 0), 45), ((38058900, 38127679, 0), 57), ((38127679, 38107786, 0), 61), ('GOAL', 38107786, 61)]
22	[((387669119, 38048961, 0), 0), ((38048961, 38048956, 0), 5), ((38048956, 38048952, 0), 16), ((38048952, 38096643, 0), 33), ((38096643, 38024757, 0), 46), ((38024757, 38057031, 0), 57), ((38057031, 38046725, 0), 79), ((38046725, 38058901, 0), 90), ((38058901, 38078585, 0), 100), ((38078585, 38078589, 0), 110), ('GOAL', 38078589, 110)]
23	[((38002421, 38002419, 0), 0), ((38002419, 38035334, 0), 3), ((38035334, 38048952, 0), 10), ((38048952, 38096643, 0), 22), ((38096643, 38024757, 0), 31), ((38024757, 38057031, 0), 41), ((38057031, 38046725, 0), 61), ((38046725, 38058901, 0), 71), ((38058901, 38078585, 0), 81), ((38078585, 38078589, 0), 91), ('GOAL', 38078589, 91)]
24	[((38077723, 38083061, 0), 0), ((38083061, 387669119, 0), 2), ((387669119, 38135625, 0), 13), ((38135625, 38024769, 0), 16), ((38024769, 38024763, 0), 18), ((38024763, 38024757, 0), 22), ((38024757, 38057031, 0), 30), ((38057031, 38046725, 0), 46), ((38046725, 38058901, 0), 54), ((38058901, 38078585, 0), 65), ((38078585, 38078589, 0), 74), ('GOAL', 38078589, 74)]
25	[((37985146, 38048877, 0), 0), ((38048877, 37985146, 0), 6), ((37985146, 2366289498, 0), 12), ((2366289498, 2366289499, 0), 19), ((2366289499, 37974745, 0), 27), ((37974745, 38078585, 0), 39), ((38078585, 38078589, 0), 51), ('GOAL', 38078589, 51)]
26	[((38002421, 38035340, 0), 0), ((38035340, 38048956, 0), 6), ((38048956, 38048952, 0), 11), ((38048952, 38096643, 0), 26), ((38096643, 38024757, 0), 34), ((38024757, 38057031, 0), 45), ((38057031, 38046725, 0), 67), ((38046725, 38058901, 0), 77), ((38058901, 38078585, 0), 88), ((38078585, 38078589, 0), 97), ('GOAL', 38078589, 97)]
27	[((38024757, 38057031, 0), 0), ((38057031, 38046725, 0), 7), ((38046725, 38058901, 0), 14), ((38058901, 38078585, 0), 24), ((38078585, 38078589, 0), 34), ('GOAL', 38078589, 34)]
28	[((38002424, 38002421, 0), 0), ((38002421, 38002419, 0), 2), ((38002419, 38035334, 0), 9), ((38035334, 38048952, 0), 16), ((38048952, 38096643, 0), 29), ((38096643, 38024757, 0), 40), ((38024757, 38057031, 0), 51), ((38057031, 38046725, 0), 73), ((38046725, 38058901, 0), 84), ((38058901, 38078585, 0), 94), ((38078585, 38078589, 0), 103), ('GOAL', 38078589, 103)]
29	[((37974742, 37974745, 0), 0), ((37974745, 38078585, 0), 1), ((38078585, 38078589, 0), 14), ('GOAL', 38078589, 14)]
30	[((37974742, 38058901, 0), 0), ((38058901, 38078585, 0), 6), ((38078585, 38078589, 0), 16), ('GOAL', 38078589, 16)]
31	[((38126878, 37982611, 0), 0), ((37982611, 37982610, 0), 4), ((37982610, 37960220, 0), 9), ((37960220, 37982606, 0), 11), ((37982606, 37982597, 0), 19), ((37982597, 37982590, 0), 23), ((37982590, 37982587, 0), 27), ((37982587, 37982582, 0), 29), ((37982582, 37982569, 0), 34), ((37982569, 37982563, 0), 39), ((37982563, 37982560, 0), 44), ((37982560, 37982555, 0), 50), ((37982555, 37982544, 0), 55), ((37982544, 38058900, 0), 61), ((38058900, 38127679, 0), 72), ((38127679, 38107786, 0), 76), ('GOAL', 38107786, 76)]
32	[((38024763, 38024769, 0), 0), ((38024769, 38024763, 0), 6), ((38024763, 38024757, 0), 10), ((38024757, 38057031, 0), 18), ((38057031, 38046725, 0), 29), ((38046725, 38058901, 0), 37), ((38058901, 38078585, 0), 47), ((38078585, 38078589, 0), 56), ('GOAL', 38078589, 56)]
33	[((38048956, 38048952, 0), 0), ((38048952, 38096643, 0), 3), ((38096643, 38024757, 0), 6), ((38024757, 38057031, 0), 11), ((38057031, 38046725, 0), 19), ((38046725, 38058901, 0), 26), ((38058901, 38078585, 0), 37), ((38078585, 38078589, 0), 46), ('GOAL', 38078589, 46)]
34	[((38038045, 37982597, 0), 0), ((37982597, 37982590, 0), 3), ((37982590, 37982587, 0), 5), ((37982587, 37982582, 0), 7), ((37982582, 37982569, 0), 13), ((37982569, 37982563, 0), 18), ((37982563, 37982560, 0), 22), ((37982560, 37982555, 0), 28), ((37982555, 37982544, 0), 33), ((37982544, 38058900, 0), 39), ((38058900, 38127679, 0), 51), ((38127679, 38107786, 0), 56), ('GOAL', 38107786, 56)]
35	[((37982590, 37982587, 0), 0), ((37982587, 37982582, 0), 2), ((37982582, 37982569, 0), 7), ((37982569, 37982563, 0), 14), ((37982563, 37982560, 0), 19), ((37982560, 37982555, 0), 25), ((37982555, 37982544, 0), 30), ((37982544, 38058900, 0), 36), ((38058900, 38127679, 0), 48), ((38127679, 38107786, 0), 53), ('GOAL', 38107786, 53)]
36	[((38048952, 38048956, 0), 0), ((38048956, 38048952, 0), 6), ((38048952, 38096643, 0), 15), ((38096643, 38024757, 0), 18), ((38024757, 38057031, 0), 26), ((38057031, 38046725, 0), 41), ((38046725, 38058901, 0), 49), ((38058901, 38078585, 0), 60), ((38078585, 38078589, 0), 69), ('GOAL', 38078589, 69)]
37	[((37982544, 37982555, 0), 0), ((37982555, 37982544, 0), 4), ((37982544, 38058900, 0), 10), ((38058900, 38127679, 0), 22), ((38127679, 38107786, 0), 27), ('GOAL', 38107786, 27)]
38	[((38035334, 38002419, 0), 0), ((38002419, 38035334, 0), 2), ((38035334, 38048952, 0), 8), ((38048952, 38096643, 0), 21), ((38096643, 38024757, 0), 29), ((38024757, 38057031, 0), 38), ((38057031, 38046725, 0), 59), ((38046725, 38058901, 0), 68), ((38058901, 38078585, 0), 79), ((38078585, 38078589, 0), 88), ('GOAL', 38078589, 88)]
39	[((38057031, 37982555, 0), 0), ((37982555, 37982544, 0), 4), ((37982544, 38058900, 0), 9), ((38058900, 38127679, 0), 20), ((38127679, 38107786, 0), 24), ('GOAL', 38107786, 24)]
40	[((37982569, 37982582, 0), 0), ((37982582, 37982569, 0), 3), ((37982569, 37982563, 0), 9), ((37982563, 37982560, 0), 14), ((37982560, 37982555, 0), 20), ((37982555, 37982544, 0), 26), ((37982544, 38058900, 0), 31), ((38058900, 38127679, 0), 43), ((38127679, 38107786, 0), 48), ('GOAL', 38107786, 48)]
