11	[((56034511, 56043059, 0), 0), ((56043059, 56034511, 0), 4), ((56034511, 56043053, 0), 44), ((56043053, 56043052, 0), 47), ((56043052, 56031468, 0), 52), ((56031468, 356602156, 0), 61), ((356602156, 56072354, 0), 73), ((56072354, 56051480, 0), 80), ((56051480, 56077542, 0), 85), ('GOAL', 56077542, 85)]
12	[((2471339541, 2471339635, 0), 0), ((2471339635, 2471339666, 0), 3), ((2471339666, 1700950154, 0), 33), ((1700950154, 56018836, 0), 43), ((56018836, 2567409651, 0), 56), ((2567409651, 56018842, 0), 71), ((56018842, 2705187703, 0), 75), ((2705187703, 2705187697, 0), 76), ((2705187697, 56017737, 0), 88), ((56017737, 56052627, 0), 90), ('GOAL', 56052627, 90)]
13	[((56150872, 56034430, 0), 0), ((56034430, 56034427, 0), 5), ((56034427, 56029952, 0), 11), ((56029952, 56029947, 0), 14), ((56029947, 56030273, 0), 29), ((56030273, 56021344, 0), 37), ((56021344, 56030280, 0), 40), ((56030280, 56060421, 0), 58), ((56060421, 7297665396, 0), 75), ((7297665396, 56097863, 0), 82), ((56097863, 7297665435, 0), 88), ((7297665435, 354739241, 0), 89), ('GOAL', 354739241, 89)]
14	[((56156114, 56102019, 0), 0), ((56102019, 56102020, 0), 9), ((56102020, 56093736, 0), 12), ((56093736, 56125809, 0), 23), ('GOAL', 56125809, 23)]
15	[((56054467, 56054471, 0), 0), ((56054471, 56054467, 0), 2), ((56054467, 56116374, 0), 14), ((56116374, 56035305, 0), 24), ((56035305, 56035307, 0), 27), ((56035307, 56018543, 0), 32), ((56018543, 56035311, 0), 34), ('GOAL', 56035311, 34)]
16	[((56053548, 56093754, 0), 0), ((56093754, 56073231, 0), 21), ((56073231, 56073228, 0), 26), ((56073228, 56096726, 0), 32), ((56096726, 56092092, 0), 34), ((56092092, 56096729, 0), 38), ((56096729, 56040973, 0), 56), ((56040973, 56040977, 0), 61), ((56040977, 56104047, 0), 70), ((56104047, 56030419, 0), 74), ((56030419, 56046617, 0), 80), ((56046617, 56046616, 0), 92), ((56046616, 4932110214, 0), 97), ((4932110214, 3292802465, 0), 130), ((3292802465, 56138389, 0), 131), ((56138389, 56092104, 0), 151), ((56092104, 56092105, 0), 162), ((56092105, 56164551, 0), 166), ((56164551, 56102905, 0), 178), ((56102905, 56065547, 0), 191), ((56065547, 56065549, 0), 224), ((56065549, 56097462, 0), 227), ((56097462, 56043015, 0), 230), ((56043015, 56106954, 0), 234), ('GOAL', 56106954, 234)]
17	[((2423592927, 56021488, 0), 0), ((56021488, 6780134821, 0), 7), ((6780134821, 56131641, 0), 37), ((56131641, 6780134815, 0), 38), ((6780134815, 56034880, 0), 64), ((56034880, 56045060, 0), 67), ((56045060, 6780134818, 0), 79), ((6780134818, 6780134811, 0), 91), ((6780134811, 3711226065, 0), 96), ((3711226065, 3711226062, 0), 106), ((3711226062, 3711226058, 0), 111), ((3711226058, 6320156843, 0), 114), ((6320156843, 6776205179, 0), 120), ('GOAL', 6776205179, 120)]
18	[((56022073, 56092494, 0), 0), ((56092494, 56022073, 0), 21), ((56022073, 56034677, 0), 40), ((56034677, 2479665514, 0), 49), ((2479665514, 2479665516, 0), 61), ((2479665516, 2479665534, 0), 62), ((2479665534, 56033704, 0), 63), ('GOAL', 56033704, 63)]
19	[((6614981127, 6615000390, 0), 0), ((6615000390, 6614981127, 0), 5), ((6614981127, 6614981130, 0), 11), ((6614981130, 6614981136, 0), 15), ((6614981136, 56171408, 0), 25), ((56171408, 6614981110, 0), 28), ((6614981110, 2868373147, 0), 40), ((2868373147, 56145013, 0), 45), ((56145013, 56046962, 0), 49), ('GOAL', 56046962, 49)]
20	[((56034641, 56034644, 0), 0), ((56034644, 56034641, 0), 3), ((56034641, 56100411, 0), 9), ((56100411, 56057294, 0), 12), ((56057294, 56129486, 0), 21), ((56129486, 56092107, 0), 25), ((56092107, 56129489, 0), 34), ((56129489, 56129490, 0), 51), ((56129490, 56102906, 0), 73), ((56102906, 56128121, 0), 79), ((56128121, 56097462, 0), 100), ((56097462, 56043015, 0), 107), ((56043015, 56106954, 0), 111), ('GOAL', 56106954, 111)]
